Filename,DecimalLat,DecimalLng
IMG_5426.JPEG,52.72821389,-1.7332
IMG_5427.JPEG,52.72841667,-1.73331389
IMG_5428.JPEG,52.72878333,-1.73294167
IMG_5429.JPEG,52.72868333,-1.73343333
IMG_5430.JPEG,52.72884722,-1.73307222
IMG_5431.JPEG,52.72903889,-1.73331389
IMG_5432.JPEG,52.72905833,-1.73328056
IMG_5433.JPEG,52.72895556,-1.73296389
IMG_5434.JPEG,52.72903333,-1.73257778
IMG_5435.JPEG,52.72904722,-1.73256389
IMG_5436.JPEG,52.72910556,-1.73265
IMG_5437.JPEG,52.72920278,-1.73256389
IMG_5438.JPEG,52.72935,-1.73261944
IMG_5439.JPEG,52.72931944,-1.73245556
IMG_5440.JPEG,52.72951944,-1.73251944
IMG_5441.JPEG,52.72957222,-1.73223333
IMG_5442.JPEG,52.72989722,-1.73205833
IMG_5443.JPEG,52.73017778,-1.73233333
IMG_5444.JPEG,52.73032778,-1.73218333
IMG_5445.JPEG,52.73035833,-1.73207778
IMG_5446.JPEG,52.730275,-1.73201111
IMG_5447.JPEG,52.73024444,-1.73198611
