Filename,DecimalLat,DecimalLng
36th Ulster Division.JPEG,52.73191389,-1.71931111
Clapton Orient Palls Memorial.JPEG,52.73218889,-1.71913611
Foresters Friendly Society Memorial.JPEG,52.73184167,-1.71934167
Free Spirit Horse Memorial.JPEG,52.73106389,-1.7232
Glider Pilot Regiment.JPEG,52.73171667,-1.719625
IMG_5520.JPEG,52.73175556,-1.72074167
IMG_5522.JPEG,52.73186944,-1.72159167
IMG_5524.JPEG,52.73159722,-1.72230278
IMG_5526.JPEG,52.73127778,-1.72285278
IMG_5527.JPEG,52.73125833,-1.72288333
IMG_5528.JPEG,52.73106389,-1.72304722
IMG_5533.JPEG,52.73103056,-1.72365278
IMG_5534.JPEG,52.73108611,-1.72381944
IMG_5537 (2).JPEG,52.73201667,-1.71921944
M-213 Popski's Private Army.JPEG,52.73180278,-1.72196111
M-334 Pegasus Bridge Memorial Flight.JPEG,52.73168611,-1.71956667
"NAAFI; Navy, Army and Air Force Institutes.JPEG",52.73098889,-1.72353889
No. 47 Squadron RAF Memorial.JPEG,52.73128889,-1.72258611
Royal and Sun Alliance Insurance Limited Memorials.JPEG,52.73169444,-1.71908889
The Women’s Royal Army Corps – WRAC,52.730975,-1.72340556
Salvation Army Memorial.JPEG,52.73091111,-1.723575
The Christmas Truce Memorial.JPEG,52.73210833,-1.71914722
The Cockleshell Heroes.JPEG,52.73188056,-1.72153333
The Western Front Association Grove.JPEG,52.73191111,-1.71928611
The Women’s Royal Army Corps – WRAC,52.73093333,-1.72383889
Trefoil Guild Memorial.JPEG,52.73105556,-1.72347778
United Nations Avenue; UN.JPEG,52.73214722,-1.71914722
YMCA Memorial.JPEG,52.73068611,-1.72378056
