167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
MERCER J,THOMPSON TD,COLLINGWOOD K,SUTCLIFFE R,PETERSON AC,HOWLEY RS AFC,KNIGHT PM,ROUNCE CIC,WEBSTER AM,WRIGHT AM,PRYCE EL,BROWN BM,CARR PBJ,CLOWREY CF,TAYLOR N,HUNT IN
O BRIEN AF,WINDLE OM,STRYKER AS,BOLAM CA,STACEY K,PENN TV,BENNETT AP,WEST RJ,CONSTANCE K,DOHERTY M,FAULKNER EJ,CLARK PA,REDPATH N,CROXFORD PJ,TILL MEG,GRIFFIN RD
SMITH T,HIGGINS J ,FRANCIS DL,EGAN C,SHIELLS WE,BARBER K,NADEN DJ,FERRIS CC,McCLENAGHAN J,KERNAGHAN HG,JONES F,HOGG GS,HALSALL AJE,STOCKMAN MA,WALLIS BJ,JAMES AS
TEMPRELLR,DONOGHUE KC,GOWER PJ,LONG APG,WAKEFIELD NG,GRAHAM RF,BRADSHAW JJ,EDWARDS CM,WRAY DS,DAVIS M,ALLEN M,TAYLOR JG,MONTGOMERY SD,DUDGEON AJ,WELLSTEAD AK,JOHNSTON BR QGM
WALKER J,GRENFELL CI,PAVIS JA,REARDON JM,GEDDIS J,HINCHLIFF JS,FAULKNER RD,FARLOW SP,LOUGHNEY J,ROBINSON JA,HIRD SJ,ARCHIBALD IG,COOMBE A,HALL HR,WELSH B,MILLER D
SWIFT JAC, HOBY GW,HOPPER D,STOREY NR,LOVETT HSR,REES GH OBE,RILEY M,HAMILTON JAM,VANDEN RD,JONES HC,LILLEY VKG,POTTSJC,FISHER WJ ,SWAN AJ ,WILLIAMS KJ,ROTHERAM RJ
HENNESSY C ,HEWISON I,HAWKINS HD ,WHITELEY RJL,LAMB RA,MELVILLE R,BREEZE ANG,THOMAS NH,LINES GP,BELLAMY D,ABERCROMBIE AA,GRAHAM SJ,JONES AW,WEBSTER AM,WOODHEAD JS DSC,ITTON PR.
GLEESON E,MASSEY RJ,FREEBURN WJ,RHODES DJ AFM,PURDY RI,1978,WALTER PJ,PIERCY JD,BREWER NK,McCROSSAN WG,KELLY SA,MCHALE A,ROBERTS B,WOOD GS,CURTIS WA,RUNDLE AJ 
BAYLIS E,NEWELL CME,SNOWDEN W,FEATHERSTONE D,DEARNLEY M,ROYAL NAVY,CUTTS RE,JONES CJ,DUNNE DA,IRWIN FH,COE ME OBE,LEE G ,LESTER NE,HOOKER SJ,EYTON-JONES JE,CALLAN PD F
THOMPSON FW,PICH M,CLARK M,SHEPPARD GL,WILLIAMSON WC,GAVIN J,FERGUSON AR,STEPHENSON MH,DOUGAN FC,TAYLOR PK,LISTER RH,McMASTER H,MacDONALD IM,LOCHHEAD GS,LOVE MD DSM,PHILLIPS K
COWIE SJ,PILGRIM ECB.,EATON CO,WEST PS,BROOKES B,DOGGETT GJ,GUY AB,MARSHALL RA,GORE A,BROWN DW,ROBSON KJ,BEST P,MILLS JL,FLETCHER SA,BANFIELD RW,LEEMING RA 
WRAY DA ,QUANTRILL PG ,GNATIUK P,GRZYBOWSKI JL,TURKINGTON WE,MILLER RK,WILSON T,MICHAELS FC,GRIFFITHS RA,COOK WC,LIVINGSTONE H,MOLONEY CM,McKENNA PJ,SMITH RJ:,ARMSTRONG D ,SMITH J
McCARTY DM,TURNER SR,MILLER W,SMART AW,TUCKER GWD,SIMON M,EDWARDS RG,1979,McCORKELL I,TOWNSEND PJ,COCHRANE MEK ,BEATTIE CE,DEAN SJ,CHENEY GM,BARR AR,UREN AB
OWEN D,VAN SOMEREN RS,ROBERTS E BEM,LEE-COOPER BE,CULLY TC,WILCOCKJ,McGOVERN KG,ROYAL NAVY,PHERSON JVT,FRYER PA,ODGERS MR,BUSHWELL NP,SMITH JD,CONNOLLY JP ,BOLDY IM,ADCOCK MJ
BASSFORD DJ,ARMY,DUTTON DR,1977,KNIGHT DHW,WHEDDON GC,FISHER J,BRADBURY LD,FORSYTH R,GRAHAM H,PAVEY OC,CONNELL G,McCUTCHEON JP,JOHNS P,BROUARD PIH,EASTON B
BROWN AW,SILCOCK H ,CATHCART GM,ROYAL NAVY,SIMPSON JS,POPE GR,SHEPHERDSON PR,BRUNSDEN BC,HANNIGAN JA,ROWE CA,BURKE R,HEWITT MJ ,PRICE MS,NEVILLE CD,DUNKERLEY RJS,HENDERSON M
CARTER BC,RIDDELL WM,EVANS D,DUNWORTH CJ,HAMON FJ,ARMY,CARNIE MD,CLARKE HJ,BELL RS,FOWLER J ,BATEMAN JB,HANNA I,DONNELLY WJ,HARDMAN RJ ,EVANS AP,HINGE BP
